"t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","group"
719,384,305,228,268,275,488,827,964,1386,1888,2270,2184,2571,2817,2919,2804,2900,2891,2758,2746,2740,2447,1161,1
527,257,135,107,135,371,990,1852,1705,1408,1175,1266,1318,1630,1667,2105,2340,2565,2085,1658,1437,1141,422,385,2
187,115,79,70,62,246,606,1351,1467,1270,979,1148,1144,1537,1625,1811,2142,2469,2006,1584,1307,1163,446,309,3
174,107,91,46,65,97,724,1363,1519,1205,1065,1119,1135,1528,1748,1959,2371,1756,2320,2018,1328,1094,781,458,3
162,120,70,49,59,100,746,1341,1505,1219,1106,1270,1276,1736,1966,2073,2496,2609,2646,1928,1621,1419,1374,743,4
522,318,180,157,204,293,578,1065,1244,1366,1464,1515,1544,1843,2189,2471,2658,2459,2605,2586,2714,2554,2443,2027,5
748,463,321,209,288,332,537,883,1166,1542,2003,2290,2368,2749,2590,2678,2656,2750,2685,2682,2706,2591,2360,2246,1
811,256,119,96,155,378,1039,1868,1827,1424,1292,1295,1411,1664,1846,2277,2517,2635,2470,1728,1464,1038,718,435,2
320,161,123,94,146,230,603,1320,1492,1207,1059,1140,1222,1608,1767,2012,2277,2579,2021,1478,1256,1027,669,439,3
280,147,126,110,154,252,589,1427,1500,1233,1085,1110,1243,1628,1829,2049,2478,2292,1970,1462,1289,1128,759,495,3
246,164,142,129,154,277,623,1531,1449,1294,1125,1200,1188,1598,1757,1944,2254,2536,2142,1739,1512,1199,777,516,3
341,188,128,130,160,265,608,1425,1497,1334,1146,1146,1231,1679,1938,2105,2379,2594,2605,1997,1696,1474,1081,698,4
466,302,235,171,202,342,592,1045,1143,1263,1349,1417,1602,2035,2300,2342,2718,2764,2859,2832,2828,2611,2484,2342,5
1625,507,339,253,266,347,573,935,1172,1580,2187,2492,2621,2679,2699,2850,2950,2851,2781,2896,2750,2457,2363,2670,1
2372,432,171,104,152,435,1092,1941,1747,1401,1287,1304,1449,1790,2045,2268,2617,2653,2521,2297,2099,1241,904,567,2
374,223,157,98,154,250,548,1462,1456,1272,1120,1195,1235,1515,1772,2124,2364,2458,2325,1679,1686,1304,923,573,3
352,226,135,100,130,277,606,1480,1489,1312,1117,1223,1249,1593,1904,2037,2521,2494,2398,1801,1747,1338,863,557,3
326,242,141,122,180,260,636,1460,1470,1314,1235,1276,1253,1753,1885,2176,2508,2503,2377,2430,1927,1574,1085,729,4
476,275,225,198,208,287,514,1020,1062,1179,1404,1529,1527,1900,2165,2612,2682,2777,2803,2848,2670,2586,2278,1431,5
833,462,290,262,272,348,568,971,1149,1569,2150,2551,2493,2159,2600,2741,2745,2800,2833,2852,2825,2733,2403,1757,1
833,390,198,154,155,449,1070,2078,1962,1454,1444,1481,1438,1778,2084,2289,2402,2531,2546,2688,2426,1623,1124,639,2
358,199,176,142,165,278,547,1413,1452,1236,1126,1218,1261,1551,1785,2095,2284,2299,1896,1469,1432,1264,828,545,3
276,201,143,103,124,241,580,1419,1502,1288,1124,1210,1239,1666,1761,2006,2433,2471,2066,1871,1634,1348,963,605,3
314,209,140,114,162,256,594,1391,1491,1231,1171,1216,1273,1575,1845,2084,2431,2545,2229,1819,1628,1264,978,647,3
366,223,153,122,147,242,557,1428,1509,1348,1186,1284,1359,1602,1922,2146,2423,2538,2423,2464,2015,1550,1055,806,4
504,338,202,191,248,331,617,1095,1090,1351,1518,1686,1601,1976,2313,2554,2747,2800,2829,2711,2489,2380,2443,2195,5
1556,559,322,279,311,365,545,883,1131,1542,2123,2491,2231,2626,2672,2726,2777,2824,2854,2826,2745,2783,2721,2408,1
1632,432,233,164,193,441,1093,2026,1884,1502,1402,1438,1363,1760,2101,2428,2476,2696,2337,2508,2364,2013,1119,662,2
395,223,171,150,170,282,613,1462,1508,1242,1144,1223,1289,1649,1803,2203,2395,2635,2598,1851,1711,1526,949,537,3
326,213,140,113,146,231,608,1416,1493,1209,1132,1187,1214,1635,1719,2040,2377,2584,2365,1930,1728,1467,1009,625,3
364,218,149,118,162,285,601,1445,1392,1328,1061,1236,1267,1545,1832,2050,2412,2614,2460,1903,1755,1484,985,580,3
519,307,203,171,208,362,605,1044,1242,1364,1454,1564,1577,1739,2257,2681,2769,2785,2699,2773,2595,2433,2468,2297,5
1942,724,408,346,290,380,550,963,1093,1564,2079,2512,2312,2498,2707,2910,2788,2649,2873,2948,2863,2871,2401,2307,1
2221,813,231,171,182,433,1103,1963,1993,1523,1351,1475,1611,1922,2137,2455,2537,2558,2639,2445,2351,2348,2181,1021,2
413,214,177,142,144,240,540,1427,1487,1272,1333,1451,1637,1977,2219,2367,2405,2620,2104,1021,690,530,265,168,3
179,155,93,99,115,248,646,1598,1472,1101,995,1049,1062,1314,1381,1477,1813,1907,1594,1401,1374,1000,729,465,3
268,165,170,109,132,253,573,1418,1546,1263,1225,1233,1385,1649,1835,2050,2348,2589,2259,1851,1607,1351,909,620,4
382,237,207,141,219,297,552,1065,1117,1196,1464,1524,1570,1921,2123,2283,2781,2926,2859,2728,2657,2618,2509,1686,5
898,435,341,255,243,297,501,829,1042,1377,2000,2292,2280,2452,2624,2707,2821,2809,2688,2820,2969,2740,2529,2053,1
728,339,183,123,164,415,1086,2029,1820,1384,1335,1402,1341,1512,2012,2243,2547,2523,2575,2339,2482,1594,1039,600,2
